name,price,kilometers_driven,fuel_type,transmission_type,location,car_type,model,mileage
N/A,NULL,0,Unknown,Unknown,Ahmedabad,Sedan,N/A,12
"2012 Maruti Swift Dzire VXI",333000,44590,Petrol,Manual,Ahmedabad,Sedan,2012,23
"2015 Hyundai Xcent 1.2 Kappa SX Option",440000,64000,Petrol,Manual,Ahmedabad,Sedan,2015,23
"2020 Maruti Dzire VXI",601000,30875,Petrol,Manual,Ahmedabad,Sedan,2020,11
"2016 Maruti Swift Dzire VXi AT",493000,50767,Petrol,Automatic,Ahmedabad,Sedan,2016,8
"2016 Hyundai Xcent Petrol",444000,39905,Petrol,Manual,Ahmedabad,Sedan,2016,25
"2016 Honda City i VTEC SV",620000,63120,Petrol,Manual,Ahmedabad,Sedan,2016,19
"2021 Tata Tigor 1.2 Revotron XZ",541000,39300,Petrol,Manual,Ahmedabad,Sedan,2021,11
"2016 Honda City i VTEC V",550000,81000,Petrol,Manual,Ahmedabad,Sedan,2016,20
"2015 Hyundai Verna 1.6 VTVT S",490000,83000,Petrol,Manual,Ahmedabad,Sedan,2015,10
"2011 Toyota Etios VX",340000,63000,Petrol,Manual,Ahmedabad,Sedan,2011,7
"2017 Maruti Ciaz Petrol",563000,97819,Diesel,Manual,Ahmedabad,Sedan,2017,24
"2013 Honda Amaze S i-Dtech",330000,70000,Diesel,Manual,Ahmedabad,Sedan,2013,20
"2011 Toyota Etios VX",340000,63000,Petrol,Manual,Ahmedabad,Sedan,2011,18
"2017 Maruti Ciaz Petrol",563000,97819,Diesel,Manual,Ahmedabad,Sedan,2017,25
"2013 Honda Amaze S i-Dtech",330000,70000,Diesel,Manual,Ahmedabad,Sedan,2013,13
"2015 Honda Amaze S i-Dtech",325000,61000,Diesel,Manual,Ahmedabad,Sedan,2015,9
"2019 Maruti Swift Dzire AMT VXI",570000,58900,Petrol,Automatic,Ahmedabad,Sedan,2019,27
"2017 Honda City i VTEC VX",695000,60000,Petrol,Manual,Ahmedabad,Sedan,2017,24
"2019 Honda Amaze VX i-VTEC",602000,19573,Petrol,Manual,Ahmedabad,Sedan,2019,31
"2016 Hyundai Xcent Petrol",434999,55522,Petrol,Manual,Ahmedabad,Sedan,2016,30
"2023 Tata Tigor 1.2 Revotron XZ",733000,25408,Petrol,Manual,Ahmedabad,Sedan,2023,24
"2016 Maruti Swift Dzire VDI",525000,73000,Diesel,Manual,Ahmedabad,Sedan,2016,25
"2018 Maruti Dzire VXI",546000,44730,Petrol,Manual,Ahmedabad,Sedan,2018,22
"2017 Maruti Ciaz 1.3 S",675000,73000,Diesel,Manual,Ahmedabad,Sedan,2017,25
"2018 Volkswagen Ameo 1.5 TDI Trendline",495000,77140,Diesel,Manual,Ahmedabad,Sedan,2018,31
"2015 Maruti Swift Dzire VXI",446000,63279,Petrol,Manual,Ahmedabad,Sedan,2015,23
"2019 Maruti Dzire VXI",548000,44968,Petrol,Manual,Ahmedabad,Sedan,2019,16
"2020 Ford Aspire 1.2 Ti-VCT Titanium",505000,46836,Petrol,Manual,Ahmedabad,Sedan,2020,30
"2022 Tata Tigor 1.2 Revotron XZ",678000,38650,Petrol,Manual,Ahmedabad,Sedan,2022,21
"2015 Honda Amaze S i-Vtech",360000,68460,Petrol,Manual,Ahmedabad,Sedan,2015,7
"2018 Hyundai Xcent Petrol",541000,56554,Petrol,Manual,Ahmedabad,Sedan,2018,17
"2014 Honda Amaze S i-VTEC",370000,62511,Petrol,Manual,Ahmedabad,Sedan,2014,7
"2021 Maruti Ciaz Petrol",847000,29366,Diesel,Manual,Ahmedabad,Sedan,2021,29
"2013 Maruti Swift Dzire VXI",281000,101101,Petrol,Manual,Ahmedabad,Sedan,2013,16
"2017 Maruti Swift Dzire VXI",459999,94606,Petrol,Manual,Ahmedabad,Sedan,2017,12
"2015 Honda Amaze S i-Vtech",392000,83221,Petrol,Manual,Ahmedabad,Sedan,2015,28
"2015 Skoda Rapid 1.6 MPI Ambition",490000,79000,Petrol,Manual,Ahmedabad,Sedan,2015,26
"2014 Honda City SV MT",425000,86602,Petrol,Manual,Ahmedabad,Sedan,2014,14
"2018 Hyundai Verna VTVT 1.6 AT SX Option",825000,45700,Petrol,Automatic,Ahmedabad,Sedan,2018,11
"2015 Honda Amaze VX i-VTEC",501999,36612,Petrol,Manual,Ahmedabad,Sedan,2015,30
"2016 Hyundai Xcent Petrol",429000,86870,Petrol,Manual,Ahmedabad,Sedan,2016,10
"2015 Honda Amaze S i-Vtech",362000,98714,Petrol,Manual,Ahmedabad,Sedan,2015,30
"2015 Maruti Ciaz VDi Plus SHVS",495000,84000,Diesel,Manual,Ahmedabad,Sedan,2015,12
"2019 Maruti Dzire ZXI",603000,60608,Petrol,Manual,Ahmedabad,Sedan,2019,13
"2020 Honda Amaze VX i-VTEC",567000,59663,Petrol,Manual,Ahmedabad,Sedan,2020,25
"2016 Hyundai Verna 1.6 CRDi SX",525000,60000,Diesel,Manual,Ahmedabad,Sedan,2016,27
"2014 Hyundai Verna 1.6 CRDi SX",497000,82789,Diesel,Manual,Ahmedabad,Sedan,2014,30
"2013 Hyundai Verna 1.6 CRDi SX",493000,90887,Diesel,Manual,Ahmedabad,Sedan,2013,12
"2016 Honda Amaze VX i-VTEC",513000,43926,Petrol,Manual,Ahmedabad,Sedan,2016,15
"2022 Hyundai Verna SX Diesel",1275000,54000,Diesel,Manual,Ahmedabad,Sedan,2022,8
"2017 Maruti Swift Dzire AMT VDI",575000,66500,Diesel,Automatic,Ahmedabad,Sedan,2017,13
"2019 Maruti Ciaz Petrol",733000,49951,Diesel,Manual,Ahmedabad,Sedan,2019,8
"2016 Honda City i VTEC CVT SV",590000,72000,Petrol,Automatic,Ahmedabad,Sedan,2016,22
"2018 Maruti Dzire VXI",536000,68949,Petrol,Manual,Ahmedabad,Sedan,2018,27
"2017 Maruti Dzire VXI",516000,67074,Petrol,Manual,Ahmedabad,Sedan,2017,11
"2017 Honda City i DTec V",591000,95109,Diesel,Manual,Ahmedabad,Sedan,2017,21
"2019 Hyundai Verna 1.6 CRDi SX",941000,53721,Diesel,Manual,Ahmedabad,Sedan,2019,13
"2016 Honda City SV MT",507000,62449,Petrol,Manual,Ahmedabad,Sedan,2016,20
"2017 Maruti Ciaz Petrol",515000,84306,Diesel,Manual,Ahmedabad,Sedan,2017,7
"2019 Maruti Ciaz Petrol",623000,91837,Diesel,Manual,Ahmedabad,Sedan,2019,17
"2018 Maruti Dzire VXI",550000,56114,Petrol,Manual,Ahmedabad,Sedan,2018,9
"2016 Honda Amaze VX i-Vtech",370000,93191,Petrol,Manual,Ahmedabad,Sedan,2016,10
"2022 Audi A4 Premium Plus",3150000,48214,Petrol,Automatic,Ahmedabad,Sedan,2022,18
"2017 Honda City i-VTEC CVT ZX",775000,71000,Petrol,Automatic,Ahmedabad,Sedan,2017,29
"2017 Honda City i VTEC VX",775000,81000,Petrol,Manual,Ahmedabad,Sedan,2017,7
"2015 Honda Amaze S i-VTEC",381000,102229,Petrol,Manual,Ahmedabad,Sedan,2015,20
"2017 Maruti Ciaz Petrol",495000,103746,Diesel,Manual,Ahmedabad,Sedan,2017,21
"2019 Maruti Dzire ZXI Plus",622000,79743,Petrol,Manual,Ahmedabad,Sedan,2019,13
"2018 Honda City i-VTEC CVT VX",725000,75000,Petrol,Automatic,Ahmedabad,Sedan,2018,23
"2014 Volkswagen Vento Petrol Comfortline",415000,58609,Petrol,Manual,Ahmedabad,Sedan,2014,17
"2012 Toyota Corolla Altis G AT",550000,80000,Petrol,Automatic,Ahmedabad,Sedan,2012,8
"2019 Honda Amaze VX i-VTEC",567000,117252,Petrol,Manual,Ahmedabad,Sedan,2019,11
"2019 Audi A4 35 TDI Premium Plus",2600000,51000,Diesel,Automatic,Ahmedabad,Sedan,2019,24
"2017 Maruti Dzire ZXI Plus",534000,96374,Petrol,Manual,Ahmedabad,Sedan,2017,29
"2023 Hyundai Verna SX Opt",1425000,49853,Petrol,Manual,Ahmedabad,Sedan,2023,19
"2015 Maruti Ciaz VXi Plus",451000,53932,Petrol,Manual,Ahmedabad,Sedan,2015,23
"2014 Honda City i VTEC CVT SV",521000,92000,Petrol,Automatic,Ahmedabad,Sedan,2014,28
"2018 Toyota Corolla Altis 1.8 VL CVT",1049000,71000,Petrol,Automatic,Ahmedabad,Sedan,2018,16
"2016 Skoda Rapid 1.5 TDI Active",445000,85000,Diesel,Manual,Ahmedabad,Sedan,2016,12
"2016 Volkswagen Vento Diesel Comfortline",528000,93096,Diesel,Manual,Ahmedabad,Sedan,2016,30
"2015 Honda Amaze S Diesel",350000,47800,Diesel,Manual,Ahmedabad,Sedan,2015,8
"2017 Honda Amaze VX CVT i-VTEC",495000,45000,Petrol,Automatic,Ahmedabad,Sedan,2017,20
"2018 Audi A6 35 TDI",3150000,48091,Diesel,Automatic,Ahmedabad,Sedan,2018,18
"2018 Honda City i-VTEC CVT V",750000,75000,Petrol,Automatic,Ahmedabad,Sedan,2018,25
"2016 Honda Amaze VX i-Vtech",451000,90925,Petrol,Manual,Ahmedabad,Sedan,2016,14
"2015 Maruti Swift Dzire VXI",465000,96000,Petrol,Manual,Ahmedabad,Sedan,2015,11
"2017 Hyundai Verna VTVT 1.6 AT SX Option",713000,98164,Petrol,Automatic,Ahmedabad,Sedan,2017,10
"2015 Maruti Swift Dzire VDI",476999,99695,Diesel,Manual,Ahmedabad,Sedan,2015,9
"2014 BMW 5 Series 520d Luxury Line",1600000,136000,Diesel,Automatic,Ahmedabad,Sedan,2014,10
"2017 Audi A4 35 TDI Technology",2250000,96078,Diesel,Automatic,Ahmedabad,Sedan,2017,14
"2015 Honda Amaze S i-Dtech",450000,90000,Diesel,Manual,Ahmedabad,Sedan,2015,12
"2019 Hyundai Verna SX IVT Opt",856000,70823,Petrol,Automatic,Ahmedabad,Sedan,2019,8
"2020 Honda Amaze S Petrol BSIV",550000,22178,Petrol,Manual,Ahmedabad,Sedan,2020,25
"2017 Hyundai Xcent 1.1 CRDi S",525000,60000,Diesel,Manual,Ahmedabad,Sedan,2017,17
"2015 Hyundai Xcent 1.2 Kappa SX",390000,90000,Petrol,Manual,Ahmedabad,Sedan,2015,28
"2015 Audi A6 35 TDI",1675000,67000,Diesel,Automatic,Ahmedabad,Sedan,2015,10
"2015 Audi A6 35 TDI Technology",2050000,77313,Diesel,Automatic,Ahmedabad,Sedan,2015,10
"2016 Skoda Rapid 1.5 TDI AT Ambition",475000,55000,Diesel,Automatic,Ahmedabad,Sedan,2016,13
"2017 Honda City i VTEC VX",650000,64000,Petrol,Manual,Ahmedabad,Sedan,2017,27
"2023 Hyundai Verna SX Turbo DCT",1451000,13429,Petrol,Automatic,Ahmedabad,Sedan,2023,14
"2018 Honda Amaze S i-VTEC",575000,64000,Petrol,Manual,Ahmedabad,Sedan,2018,8
"2017 Honda City i-DTEC ZX",825000,73000,Diesel,Manual,Ahmedabad,Sedan,2017,17
"2013 Maruti Swift Dzire ZXI",375000,69000,Petrol,Manual,Ahmedabad,Sedan,2013,29
"2016 Hyundai Xcent 1.2 Kappa S",395000,75000,Petrol,Manual,Ahmedabad,Sedan,2016,14
"2017 Volkswagen Ameo Cup Edition Comfortline",411000,108295,Petrol,Manual,Ahmedabad,Sedan,2017,28
"2011 Honda City 1.5 S MT",350000,75000,Petrol,Manual,Ahmedabad,Sedan,2011,14
"2014 Honda Amaze E i-Dtech",370000,70000,Diesel,Manual,Ahmedabad,Sedan,2014,29
"2021 BMW 5 Series 520d Luxury Line",4900000,35000,Diesel,Automatic,Ahmedabad,Sedan,2021,23
"2024 Hyundai Verna SX Opt Turbo DCT",1725000,15000,Petrol,Automatic,Ahmedabad,Sedan,2024,19
"2014 Honda City i VTEC S",475000,65000,Petrol,Manual,Ahmedabad,Sedan,2014,22
"2014 Hyundai Xcent 1.2 Kappa S Option",375000,61000,Petrol,Manual,Ahmedabad,Sedan,2014,21
"2020 Volkswagen Vento Red And White Edition",750000,111219,Petrol,Automatic,Ahmedabad,Sedan,2020,31
"2023 Audi A6 45 TFSI Technology BSVI",4900000,31000,Petrol,Automatic,Ahmedabad,Sedan,2023,11
"2015 Maruti Ciaz ZXi",564000,43256,Petrol,Manual,Ahmedabad,Sedan,2015,31
"2014 Honda Amaze 2nd Gen S",392000,106177,Petrol,Manual,Ahmedabad,Sedan,2014,15
"2013 Volkswagen Jetta 1.4 TSI Comfortline",475000,50000,Petrol,Manual,Ahmedabad,Sedan,2013,28
"2011 Maruti Swift Dzire ZXi",240000,105031,Petrol,Manual,Ahmedabad,Sedan,2011,10
"2020 Tata Tigor 1.2 Revotron XZA",570000,44056,Petrol,Automatic,Ahmedabad,Sedan,2020,11
"2017 Honda City i-VTEC CVT ZX",850000,34000,Petrol,Automatic,Ahmedabad,Sedan,2017,20
"2016 Maruti Swift Dzire VXI",425000,85000,Petrol,Manual,Ahmedabad,Sedan,2016,7
"2015 Honda City VX MT",597000,37365,Petrol,Manual,Ahmedabad,Sedan,2015,22
"2019 Honda Amaze S Petrol BSIV",625000,27000,Petrol,Manual,Ahmedabad,Sedan,2019,7
"2020 Maruti Ciaz Alpha BSVI",725000,88000,Petrol,Manual,Ahmedabad,Sedan,2020,11
"2019 Hyundai Xcent 1.2 VTVT S",475000,63033,Petrol,Manual,Ahmedabad,Sedan,2019,26
"2018 Honda Amaze S Petrol BSIV",480999,79467,Petrol,Manual,Ahmedabad,Sedan,2018,19
"2014 Tata Zest Quadrajet 1.3 XMA",215000,114000,Diesel,Automatic,Ahmedabad,Sedan,2014,8
"2020 Hyundai Aura S",558000,47660,Petrol,Manual,Ahmedabad,Sedan,2020,26
"2015 Maruti Ciaz VXi",454000,69879,Petrol,Manual,Ahmedabad,Sedan,2015,24
"2015 Honda Amaze VX i-Vtech",325000,86000,Petrol,Manual,Ahmedabad,Sedan,2015,12
"2019 Honda Amaze S Petrol BSIV",499000,80719,Petrol,Manual,Ahmedabad,Sedan,2019,7
"2014 Maruti Swift Dzire VXI",369000,90264,Petrol,Manual,Ahmedabad,Sedan,2014,18
"2018 Maruti Swift Dzire VXI 1.2",480000,74234,Petrol,Manual,Ahmedabad,Sedan,2018,10
"2013 Audi A6 2.0 TDI",1395000,38000,Diesel,Automatic,Ahmedabad,Sedan,2013,18
"2015 Honda City i VTEC CVT VX",501000,91492,Petrol,Automatic,Ahmedabad,Sedan,2015,25
"2012 Nissan Sunny XL",300000,69795,Petrol,Manual,Ahmedabad,Sedan,2012,15
"2015 Honda City i VTEC V",473000,72976,Petrol,Manual,Ahmedabad,Sedan,2015,20
"2015 Honda City i VTEC V",470000,50115,Petrol,Manual,Ahmedabad,Sedan,2015,24
"2019 Honda Amaze V CVT Diesel BSIV",550000,77000,Diesel,Automatic,Ahmedabad,Sedan,2019,28
"2015 Maruti Ciaz ZDi",550000,55000,Diesel,Manual,Ahmedabad,Sedan,2015,13
"2017 Hyundai Verna CRDi 1.6 AT EX",825000,62000,Diesel,Automatic,Ahmedabad,Sedan,2017,25
"2022 Hyundai Verna SX IVT",1150000,50000,Petrol,Automatic,Ahmedabad,Sedan,2022,29
"2019 Maruti Ciaz Delta BSIV",582000,71648,Petrol,Manual,Ahmedabad,Sedan,2019,12
"2015 Hyundai Verna 1.6 VTVT S Option",578000,61471,Petrol,Manual,Ahmedabad,Sedan,2015,17
"2014 Skoda Rapid 1.5 TDI AT Ambition",590000,89000,Diesel,Automatic,Ahmedabad,Sedan,2014,19
"2012 Toyota Corolla Altis Diesel D4DG",425000,75000,Diesel,Manual,Ahmedabad,Sedan,2012,11
"2019 Honda City i-DTEC VX",1050000,45000,Diesel,Manual,Ahmedabad,Sedan,2019,17
"2021 Skoda Rapid 1.0 TSI Ambition AT",775000,64708,Petrol,Automatic,Ahmedabad,Sedan,2021,21
"2017 BMW 3 Series 320d",1900000,73000,Diesel,Automatic,Ahmedabad,Sedan,2017,21
"2014 BMW 5 Series 520d Modern Line",1675000,62900,Diesel,Automatic,Ahmedabad,Sedan,2014,13
"2011 Audi A7 3.0 TDI Quattro",1155000,142000,Diesel,Automatic,Ahmedabad,Sedan,2011,19
"2016 Hyundai Verna 1.6 CRDi SX",645000,72000,Diesel,Manual,Ahmedabad,Sedan,2016,25
"2020 Hyundai Aura S",640000,34000,Petrol,Manual,Ahmedabad,Sedan,2020,13
"2013 Toyota Etios V",300000,65000,Petrol,Manual,Ahmedabad,Sedan,2013,8
"2014 Honda Amaze E i-Dtech",340000,81000,Diesel,Manual,Ahmedabad,Sedan,2014,17
"2023 Volkswagen Virtus Topline AT",1427000,7185,Petrol,Automatic,Ahmedabad,Sedan,2023,7
"2017 Maruti Swift Dzire AMT VDI",595000,67000,Diesel,Automatic,Ahmedabad,Sedan,2017,28
"2023 Tata Tigor EV XZ Plus",950000,25000,Electric,Automatic,Ahmedabad,Sedan,2023,13
"2022 Skoda Slavia 1.5 TSI Style",1168000,19851,Petrol,Manual,Ahmedabad,Sedan,2022,25
"2016 Toyota Etios GD",450000,65000,Diesel,Manual,Ahmedabad,Sedan,2016,30
"2016 Hyundai Verna 1.6 CRDi SX",500000,71000,Diesel,Manual,Ahmedabad,Sedan,2016,18
"2014 Maruti Swift Dzire VXI",388000,73391,Petrol,Manual,Ahmedabad,Sedan,2014,17
"2014 Nissan Sunny Diesel XL",270000,74000,Diesel,Manual,Ahmedabad,Sedan,2014,26
"2020 Hyundai Aura S Diesel",578000,46613,Diesel,Manual,Ahmedabad,Sedan,2020,22
"2016 Tata Zest Revotron 1.2T XM",375000,94000,Petrol,Manual,Ahmedabad,Sedan,2016,25
"2019 Honda City ZX MT",890000,34000,Petrol,Manual,Ahmedabad,Sedan,2019,29
"2017 Maruti Swift Dzire VDI",447000,80842,Diesel,Manual,Ahmedabad,Sedan,2017,15
"2022 Mercedes-Benz A-Class Limousine A 200d",3875000,36200,Diesel,Automatic,Ahmedabad,Sedan,2022,28
"2023 Hyundai Verna SX",1325000,18000,Petrol,Manual,Ahmedabad,Sedan,2023,16
"2017 Tata Tigor 1.2 Revotron XZ Option",375000,68200,Petrol,Manual,Ahmedabad,Sedan,2017,12
"2014 Volkswagen Vento 1.5 TDI Highline",409999,54000,Diesel,Manual,Ahmedabad,Sedan,2014,30
"2017 Volkswagen Vento 1.5 TDI Highline AT",610000,115000,Diesel,Automatic,Ahmedabad,Sedan,2017,8
"2016 Honda City i DTec SV",525000,58000,Diesel,Manual,Ahmedabad,Sedan,2016,20
"2016 Honda City i VTEC SV",565000,57000,Petrol,Manual,Ahmedabad,Sedan,2016,20
"2018 Nissan Sunny Diesel XL",432000,45935,Diesel,Manual,Ahmedabad,Sedan,2018,7
"2015 Skoda Octavia 1.8 TSI AT Style Plus",890000,55000,Petrol,Automatic,Ahmedabad,Sedan,2015,17
"2021 Volkswagen Vento 1.0 TSI Highline Plus AT",805000,45212,Petrol,Automatic,Ahmedabad,Sedan,2021,9
"2019 Hyundai Verna VTVT 1.4 E",715000,75000,Petrol,Manual,Ahmedabad,Sedan,2019,11
"2021 Hyundai Aura SX Plus AMT",725000,24000,Petrol,Automatic,Ahmedabad,Sedan,2021,24
"2017 Honda City i DTec V",675000,88000,Diesel,Manual,Ahmedabad,Sedan,2017,29
"2013 Audi A4 2.0 TDI",1250000,74000,Diesel,Automatic,Ahmedabad,Sedan,2013,15
"2017 Nissan Sunny Diesel XE",408000,90627,Diesel,Manual,Ahmedabad,Sedan,2017,8
"2016 Maruti Ciaz ZDi SHVS",551000,69000,Diesel,Manual,Ahmedabad,Sedan,2016,14
"2019 Honda City i-VTEC CVT VX",753000,69874,Petrol,Automatic,Ahmedabad,Sedan,2019,15
"2013 Maruti SX4 Vxi BSIV",250000,76000,Petrol,Manual,Ahmedabad,Sedan,2013,25
"2017 Maruti Ciaz 1.3 Delta",635000,60000,Diesel,Manual,Ahmedabad,Sedan,2017,23
"2014 Hyundai Verna 1.6 CRDi EX MT",525000,75000,Diesel,Manual,Ahmedabad,Sedan,2014,9
"2018 Skoda Rapid 1.5 TDI AT Style BSIV",875000,88000,Diesel,Automatic,Ahmedabad,Sedan,2018,20
"2021 Hyundai Verna SX AT Diesel",1195000,87000,Diesel,Automatic,Ahmedabad,Sedan,2021,15
"2019 Volkswagen Vento 1.5 TDI Highline Plus AT",875000,73000,Diesel,Automatic,Ahmedabad,Sedan,2019,10
"2017 Maruti Swift Dzire VDI",500000,68000,Diesel,Manual,Ahmedabad,Sedan,2017,23
"2017 Hyundai Verna CRDi 1.6 EX",675000,85000,Diesel,Manual,Ahmedabad,Sedan,2017,28
"2018 Hyundai Xcent 1.2 CRDi S",450000,68000,Diesel,Manual,Ahmedabad,Sedan,2018,16
"2013 Audi A4 2.0 TDI",994999,72000,Diesel,Automatic,Ahmedabad,Sedan,2013,16
"2018 Honda Amaze VX i DTEC",602000,43580,Diesel,Manual,Ahmedabad,Sedan,2018,23
"2021 Maruti Swift Dzire ZXI BSVI",630000,27000,Petrol,Manual,Ahmedabad,Sedan,2021,12
"2015 Honda City i DTEC V",500000,50000,Diesel,Manual,Ahmedabad,Sedan,2015,9
"2022 Skoda Slavia 1.0 TSI Ambition AT BSVI",1150000,26000,Petrol,Automatic,Ahmedabad,Sedan,2022,26
"2010 Toyota Corolla Altis Diesel D4DG",350000,61000,Diesel,Manual,Ahmedabad,Sedan,2010,23
"2022 BMW 2 Series 220i M Sport BSVI",3350000,13110,Petrol,Automatic,Ahmedabad,Sedan,2022,31
"2015 Tata Zest Revotron 1.2 XT",260000,51000,Petrol,Manual,Ahmedabad,Sedan,2015,30
"2011 Toyota Etios VX",235000,52000,Petrol,Manual,Ahmedabad,Sedan,2011,27
"2022 Honda City V MT",849000,46804,Petrol,Manual,Ahmedabad,Sedan,2022,10
"2012 Hyundai Verna 1.6 SX",350000,75000,Diesel,Manual,Ahmedabad,Sedan,2012,15
"2022 Tata Tigor XZ CNG BSVI",775000,25000,CNG,Manual,Ahmedabad,Sedan,2022,14
"2018 Toyota Corolla Altis 1.8 G",800000,85000,Petrol,Manual,Ahmedabad,Sedan,2018,19
"2011 Maruti Swift Dzire VXI 1.2",240000,94747,Petrol,Manual,Ahmedabad,Sedan,2011,20
"2023 Maruti Swift Dzire ZXI CNG BSVI",790000,45000,CNG,Manual,Ahmedabad,Sedan,2023,10
"2011 Honda City CNG",225000,106800,CNG,Manual,Ahmedabad,Sedan,2011,11
"2006 Honda City CVT",175000,65000,Petrol,Automatic,Ahmedabad,Sedan,2006,16
"2012 Maruti Swift Dzire VXI",327000,99495,Petrol,Manual,Ahmedabad,Sedan,2012,18
"2019 Hyundai Xcent Petrol",594000,20639,Petrol,Manual,Ahmedabad,Sedan,2019,9
"2022 Honda Amaze S i-VTEC",616000,39451,Petrol,Manual,Ahmedabad,Sedan,2022,8
"2012 Maruti Swift Dzire VXI",342000,44539,Petrol,Manual,Ahmedabad,Sedan,2012,10
"2017 Honda City V MT Diesel",629000,100869,Diesel,Manual,Ahmedabad,Sedan,2017,17
"2019 Hyundai Xcent Petrol",476000,101948,Petrol,Manual,Ahmedabad,Sedan,2019,25
"2015 Honda Amaze S i-VTEC",395000,66934,Petrol,Manual,Ahmedabad,Sedan,2015,15
"2017 Maruti Ciaz VXi",614000,31543,Petrol,Manual,Ahmedabad,Sedan,2017,22
"2017 Maruti Dzire VXI",530000,74880,Petrol,Manual,Ahmedabad,Sedan,2017,31
"2019 Maruti Ciaz Petrol",783000,29392,Diesel,Manual,Ahmedabad,Sedan,2019,31
"2017 Maruti Ciaz Petrol",552000,73308,Diesel,Manual,Ahmedabad,Sedan,2017,9
"2016 Maruti Ciaz ZXi",505000,93848,Petrol,Manual,Ahmedabad,Sedan,2016,20
"2013 Volkswagen Vento Petrol Highline",432000,76049,Petrol,Manual,Ahmedabad,Sedan,2013,14
"2018 Volkswagen Ameo 1.0 MPI Highline Plus",471000,105409,Petrol,Manual,Ahmedabad,Sedan,2018,30
"2014 Audi A3 35 TDI Attraction",1290000,41000,Diesel,Automatic,Ahmedabad,Sedan,2014,26
"2017 Honda Amaze S i-DTEC",462000,71337,Diesel,Manual,Ahmedabad,Sedan,2017,8
"2020 Skoda Superb Petrol Ambition",708000,65506,Petrol,Manual,Ahmedabad,Sedan,2020,30
"2023 Maruti Ciaz Alpha AT",1031000,6000,Petrol,Automatic,Ahmedabad,Sedan,2023,19
"2018 Maruti Swift Dzire VXI 1.2",525000,48500,Petrol,Manual,Ahmedabad,Sedan,2018,26
"2017 Maruti Swift Dzire VDI",475000,90120,Diesel,Manual,Ahmedabad,Sedan,2017,13
"2017 Hyundai Verna 1.6 CRDi SX",699000,82000,Diesel,Manual,Ahmedabad,Sedan,2017,8
"2017 Honda City i-DTEC ZX",750000,62000,Diesel,Manual,Ahmedabad,Sedan,2017,19
"2013 Maruti Swift Dzire VXI",350000,37810,Petrol,Manual,Ahmedabad,Sedan,2013,17
"2015 Honda City i VTEC V",595000,50000,Petrol,Manual,Ahmedabad,Sedan,2015,18
"2014 Honda City i VTEC V",391000,90023,Petrol,Manual,Ahmedabad,Sedan,2014,7
"2016 Hyundai Verna 1.6 CRDi SX",575000,118513,Diesel,Manual,Ahmedabad,Sedan,2016,25
"2015 Honda City i VTEC V",475000,95243,Petrol,Manual,Ahmedabad,Sedan,2015,22
"2016 Hyundai Verna 1.6 CRDi S",565000,63000,Diesel,Manual,Ahmedabad,Sedan,2016,30
"2018 Hyundai Xcent 1.2 VTVT SX",575000,32000,Petrol,Manual,Ahmedabad,Sedan,2018,26
"2020 Maruti Swift Dzire VXI 1.2",549000,61434,Petrol,Manual,Ahmedabad,Sedan,2020,10
"2017 Honda City i-VTEC SV",700000,17000,Petrol,Manual,Ahmedabad,Sedan,2017,16
"2014 Maruti Swift Dzire VXI",425000,58000,Petrol,Manual,Ahmedabad,Sedan,2014,18
"2016 Hyundai Xcent 1.2 CRDi S",425000,65300,Diesel,Manual,Ahmedabad,Sedan,2016,8
"2017 Maruti Swift Dzire AMT ZDI",625000,57000,Diesel,Automatic,Ahmedabad,Sedan,2017,7
"2015 Honda City i DTEC SV",570000,67100,Diesel,Manual,Ahmedabad,Sedan,2015,30
"2015 Honda City i DTEC VX",651000,80000,Diesel,Manual,Ahmedabad,Sedan,2015,20
"2017 Maruti Ciaz Delta Diesel",690000,63000,Diesel,Automatic,Ahmedabad,Sedan,2017,29
"2018 Honda City i-DTEC SV",725000,62400,Diesel,Manual,Ahmedabad,Sedan,2018,29
"2014 Tata Zest Revotron 1.2 XT",240000,61000,Petrol,Manual,Ahmedabad,Sedan,2014,26
"2016 Maruti Swift Dzire VXI",434999,68941,Petrol,Manual,Ahmedabad,Sedan,2016,13
"2021 Hyundai Aura S",615000,46000,Petrol,Manual,Ahmedabad,Sedan,2021,29
"2018 Maruti Swift Dzire VDI",650000,66000,Diesel,Manual,Ahmedabad,Sedan,2018,23
"2019 Honda City i-VTEC ZX",799000,21199,Petrol,Manual,Ahmedabad,Sedan,2019,23
"2014 Volkswagen Vento Diesel Highline",395000,73000,Diesel,Manual,Ahmedabad,Sedan,2014,15
"2018 Hyundai Verna CRDi 1.6 SX Option",850000,73200,Diesel,Manual,Ahmedabad,Sedan,2018,22
"2022 Skoda Slavia 1.0 TSI Style AT BSVI",1186000,32986,Petrol,Automatic,Ahmedabad,Sedan,2022,10
"2011 Volkswagen Vento Petrol Comfortline",280000,112500,Petrol,Manual,Ahmedabad,Sedan,2011,27
"2015 Hyundai Xcent 1.2 Kappa SX",375000,56000,Petrol,Manual,Ahmedabad,Sedan,2015,22
"2021 Honda Amaze V CVT Petrol",750000,58000,Petrol,Automatic,Ahmedabad,Sedan,2021,24
"2022 Volkswagen Virtus GT Plus DSG BSVI",1352000,27475,Petrol,Automatic,Ahmedabad,Sedan,2022,23
